fid,fill-rate,holding-cost,prod-cost,trans-cost,seconds
1,71%,1.78E+07,2.30E+07,0,2.34
2,NaN,0,0,0,0.001
3,70%,1.89E+07,2.13E+07,0,1.515
4,73%,1.88E+07,2.11E+07,0,2.664
5,73%,1.82E+07,2.07E+07,0,3.301
6,74%,1.86E+07,2.01E+07,0,2.969
7,75%,1.87E+07,1.99E+07,0,2.588
8,73%,1.84E+07,1.88E+07,0,2.247
9,NaN,0,0,0,0
10,73%,1.77E+07,1.92E+07,0,3.314
11,74%,1.78E+07,1.93E+07,0,3.5
12,75%,1.74E+07,1.86E+07,0,2.572
13,75%,1.84E+07,1.85E+07,0,2.662
14,75%,1.78E+07,1.80E+07,0,2.872
15,71%,1.66E+07,1.80E+07,0,1.068
16,NaN,0,0,0,0
17,70%,1.52E+07,2.03E+07,0,1.295
18,71%,1.48E+07,1.93E+07,0,1.919
19,52%,1.39E+07,5569739.128,0,0.765
20,60%,1.23E+07,7757521.712,0,1.241
21,62%,1.07E+07,8020400.604,0,1.42
22,58%,9948891.218,7372391.14,0,0.794
23,NaN,0,0,0,0
24,57%,9065815.881,8287766.69,0,1.363
25,60%,7407062.464,8149385.21,0,1.65
26,60%,6632255.666,7682615.488,0,1.2
27,61%,6627432.829,7353533.319,0,0.901
28,62%,6639598.346,7148251.098,0,1.114
29,58%,7560984.733,6866055.562,0,0.61
30,NaN,0,0,0,0
31,59%,7792003.953,7842668.613,0,0.928